Linear_GD,Ridge_GD,Lasso_CD
1.0000000000000004,1.0000000000000004,0.07478229747887848
0.9405737886397063,0.9405737886397063,0.01596911890199779
0.886654128214403,0.886654128214403,0.00409609896416004
0.8375725987028574,0.8375725987028574,0.0014707111087562418
0.7927521979372802,0.7927521979372802,0.0009740590782570993
0.7516942492062746,0.7516942492062746,0.000899030451766537
0.7139672168763795,0.7139672168763795,0.00088621297097379
0.6791971500887259,0.6791971500887259,0.0008818013714915294
0.647059515770283,0.647059515770283,0.0008792969610599072
0.6172722173170482,0.6172722173170482,0.0008777508218997447
0.5895896252529627,0.5895896252529627,0.0008768223705381349
0.5637974717052286,0.5637974717052286,0.0008762858884295529
0.5397084823137097,0.5397084823137097,0.0008759834737457281
0.5171586377631325,0.5171586377631325,0.0008758137260980318
0.4960039729641593,0.4960039729641593,0.0008757170579239404
0.4761178354157661,0.47611783541576597,0.0008756604874051576
0.45738853580008304,0.45738853580008304,0.0008756262678120028
0.43971733368472565,0.43971733368472565,0.0008756048716510197
0.4230167095862405,0.4230167095862406,0.0008755910965512308
0.40720888179451775,0.40720888179451775,0.0008755820154926852
0.3922245324533014,0.3922245324533014,0.000875575919687361
0.37800171259106496,0.37800171259106496,0.0008755717727910086
0.3644849002314086,0.3644849002314086,0.0008755689241355452
0.3516241894953274,0.3516241894953274,0.0008755669533504626
0.33937459183510077,0.33937459183510077,0.0008755655827705183
0.3276954332929814,0.3276954332929814,0.0008755646259193183
0.3165498340270658,0.3165498340270659,0.0008755639560002571
0.30590425835118384,0.30590425835118384,0.0008755634859881871
0.29572812524607384,0.29572812524607384,0.0008755631557287311
0.28599347075876363,0.28599347075876363,0.0008755629234154875
0.27667465495282995,0.2766746549528299,0.000875562759874347
0.26774810713551284,0.26774810713551284,0.0008755626446844154
0.25919210399534304,0.25919210399534304,0.000875562563520004
0.2509865760588538,0.2509865760588538,0.0008755625063154091
0.24311293853661722,0.24311293853661722,0.000875562465990252
0.2355539431938866,0.2355539431938866,0.0008755624375602171
0.2282935483637379,0.2282935483637379,0.0008755624175146457
0.22131680463287365,0.2213168046328736,0.0008755624033799099
0.21460975408250654,0.21460975408250654,0.0008755623934126235
0.2081593412677778,0.2081593412677778,0.0008755623863838386
0.20195333437648602,0.20195333437648602,0.0008755623814271252
0.19598025522791956,0.19598025522791956,0.000875562377931584
0.1902293169607513,0.1902293169607513,0.0008755623754664535
