Labels,Linear,Ridge,Lasso
Intercept,-0.012742573342196271,-0.012689126495561167,0.0
Feature 1,-0.597751745056252,-0.5976253808551814,-0.5836505464653534
Feature 2,0.001490476000542973,0.0015551892020396702,0.0
Feature 3,0.22587311374814928,0.2256185625940903,0.2110763861513738
Feature 4,-0.012371208484722382,-0.012384949136203456,-0.002028275040991692
Feature 5,-0.005824274787207373,-0.005734341145974832,0.0
Feature 6,-0.36714629867510296,-0.3670338936497399,-0.35331372585190113
Feature 7,0.0005703141522295507,0.0005654328052664357,-0.0
Feature 8,0.4683639004618795,0.4682523112380043,0.45264695948696654
Feature 9,0.45372526368061383,0.45366603628279595,0.44683579662894396
Feature 10,0.3789863759358107,0.37889549453001403,0.36351117492861124
Feature 11,-0.0028284167655757697,-0.002791530664396764,0.0
Feature 12,-0.01640206313391751,-0.01646543974225736,-0.011459683761624134
Feature 13,0.0026084521566790697,0.002681360900627158,0.0017836925920304975
Feature 14,0.004546315027616266,0.004603163761285375,0.0018174899456096922
Feature 15,6.424312885443489e-17,6.421857664675978e-17,6.313848700536144e-17
Test MSE,0.0019372109275486045,0.0019480844470239824,0.004034555718858743
Test R2 Score,0.9978326567085775,0.9978204914615443,0.9954861563360041
